ID,age,income,max_ant,months,score,zone,level,house_type,risk
3146,27,999.84,23,136,160,Centro,EdBasica,Familiar,1
3283,40,1550,0,148,180,Centro,EdBasica,Familiar,1
3298,29,1031.62,0,121,173,Centro,EdBasica,Familiar,1
3531,36,2545.53,0,200,185,Centro,EdBasica,Familiar,1
3698,48,1600,0,184,183,Centro,EdBasica,Familiar,1
3926,39,1572.49,0,181,177,Centro,EdBasica,Familiar,1
4924,55,2703.18,0,523,177,Centro,EdBasica,Familiar,1
788,48,850,17,471,197,Norte,EdBasica,Familiar,0
826,30,948.18,0,162,173,Norte,EdBasica,Familiar,0
1405,35,5500,51,143,192,Norte,EdBasica,Familiar,0
1619,28,7000,0,161,146,Norte,EdBasica,Familiar,1
1708,52,1580,40,459,160,Norte,EdBasica,Familiar,1
1844,34,1280,0,186,162,Norte,EdBasica,Familiar,1
1949,32,795.74,0,122,194,Norte,EdBasica,Familiar,1
1971,27,781.4,0,127,171,Norte,EdBasica,Familiar,1
2027,57,1456.97,0,115,192,Norte,EdBasica,Familiar,1
2032,22,902,0,123,134,Norte,EdBasica,Familiar,1
2166,33,688.56,0,140,173,Norte,EdBasica,Familiar,1
2231,38,15000,0,224,158,Norte,EdBasica,Familiar,1
2321,30,30000,0,210,197,Norte,EdBasica,Familiar,1
2444,33,1642.18,15,130,180,Norte,EdBasica,Familiar,1
2543,35,5000,0,210,190,Norte,EdBasica,Familiar,1
2566,35,2249.97,0,117,185,Norte,EdBasica,Familiar,1
2677,30,1000,0,148,173,Norte,EdBasica,Familiar,1
2722,33,1483,0,170,182,Norte,EdBasica,Familiar,1
2736,27,992.51,0,162,166,Norte,EdBasica,Familiar,1
2816,27,500.25,0,142,167,Norte,EdBasica,Familiar,1
2820,60,2300,0,129,209,Norte,EdBasica,Familiar,1
2870,39,915.75,0,174,191,Norte,EdBasica,Familiar,1
3072,23,8000,0,170,190,Norte,EdBasica,Familiar,1
3165,29,1691.22,9,124,168,Norte,EdBasica,Familiar,1
3182,23,1050,0,160,160,Norte,EdBasica,Familiar,1
3212,28,880,8,122,166,Norte,EdBasica,Familiar,1
3416,34,890.12,15,178,177,Norte,EdBasica,Familiar,1
3894,40,1450,0,247,180,Norte,EdBasica,Familiar,1
3946,49,915,0,224,178,Norte,EdBasica,Familiar,1
4068,28,752.04,29,161,168,Norte,EdBasica,Familiar,1
4320,57,1240.29,0,606,194,Norte,EdBasica,Familiar,1
4470,52,1144.09,0,128,178,Norte,EdBasica,Familiar,1
4532,49,1343.57,34,178,178,Norte,EdBasica,Familiar,1
1570,33,1650,6,196,171,Oriente,EdBasica,Familiar,1
3998,40,6000,0,162,214,Oriente,EdBasica,Familiar,1
936,41,3500,72,212,195,Sur,EdBasica,Familiar,0
2855,28,2500,17,156,192,,Profesional,Familiar,1
2963,36,1200,32,147,204,,Profesional,Familiar,1
3127,46,2300,50,278,185,,Profesional,Familiar,1
7,30,2100,12,127,193,Capital,Profesional,Familiar,0
17,28,2800,47,185,175,Capital,Profesional,Familiar,0
28,23,2100,7,136,174,Capital,Profesional,Familiar,0
29,26,3000,0,177,215,Capital,Profesional,Familiar,0
38,26,2300,8,149,187,Capital,Profesional,Familiar,0
42,29,2100,8,142,200,Capital,Profesional,Familiar,0
45,36,1200,0,162,165,Capital,Profesional,Familiar,0
52,29,1500,14,164,165,Capital,Profesional,Familiar,0
55,23,2300,0,147,181,Capital,Profesional,Familiar,0
57,28,1400,6,133,185,Capital,Profesional,Familiar,0
58,29,4200,15,133,200,Capital,Profesional,Familiar,0
63,37,3500,0,135,202,Capital,Profesional,Familiar,0
79,29,3200,0,174,216,Capital,Profesional,Familiar,0
81,36,3150,10,135,197,Capital,Profesional,Familiar,0
82,28,2200,9,210,209,Capital,Profesional,Familiar,0
84,26,2278.38,7,133,206,Capital,Profesional,Familiar,0
106,42,8000,25,210,180,Capital,Profesional,Familiar,0
123,38,4500,26,143,197,Capital,Profesional,Familiar,0
132,34,1500,35,152,206,Capital,Profesional,Familiar,0
133,24,3000,9,145,176,Capital,Profesional,Familiar,0
158,49,2000,0,272,185,Capital,Profesional,Familiar,0
169,27,1400,13,148,174,Capital,Profesional,Familiar,0
171,50,1160,0,183,186,Capital,Profesional,Familiar,0
174,49,4400,8,330,195,Capital,Profesional,Familiar,0
186,25,2500,23,167,206,Capital,Profesional,Familiar,0
190,27,2224.3,19,126,200,Capital,Profesional,Familiar,0
192,51,1200,0,147,188,Capital,Profesional,Familiar,0
233,37,3000,69,170,201,Capital,Profesional,Familiar,0
234,44,1210,8,245,181,Capital,Profesional,Familiar,0
239,32,9000,81,191,225,Capital,Profesional,Familiar,0
242,41,3500,0,280,175,Capital,Profesional,Familiar,0
254,36,4750,9,231,202,Capital,Profesional,Familiar,0
259,30,4000,8,122,200,Capital,Profesional,Familiar,0
260,30,2984.62,0,181,196,Capital,Profesional,Familiar,0
264,34,29393.13,88,273,190,Capital,Profesional,Familiar,0
268,33,6620,22,174,200,Capital,Profesional,Familiar,0
269,41,6205,13,249,205,Capital,Profesional,Familiar,0
280,35,2200,30,232,210,Capital,Profesional,Familiar,0
310,42,6000,87,186,180,Capital,Profesional,Familiar,0
312,28,2000,10,145,193,Capital,Profesional,Familiar,0
316,33,3500,40,180,207,Capital,Profesional,Familiar,0
329,44,1451,37,431,188,Capital,Profesional,Familiar,0
336,31,5500,15,133,214,Capital,Profesional,Familiar,0
346,46,3700,65,188,205,Capital,Profesional,Familiar,0
352,32,6800,0,131,200,Capital,Profesional,Familiar,0
353,30,1916.59,32,138,200,Capital,Profesional,Familiar,0
359,29,2100,54,158,214,Capital,Profesional,Familiar,0
360,32,4000,0,205,194,Capital,Profesional,Familiar,0
367,26,2425.95,11,176,199,Capital,Profesional,Familiar,0
371,39,769.27,12,138,197,Capital,Profesional,Familiar,0
373,25,3000,0,137,206,Capital,Profesional,Familiar,0
377,33,7195.55,86,291,196,Capital,Profesional,Familiar,0
378,22,800,34,148,178,Capital,Profesional,Familiar,0
380,23,2800,0,123,190,Capital,Profesional,Familiar,0
384,58,3749,91,408,199,Capital,Profesional,Familiar,0
386,46,8300,0,112,212,Capital,Profesional,Familiar,0
388,27,3550,40,161,208,Capital,Profesional,Familiar,0
391,47,14000,0,196,200,Capital,Profesional,Familiar,0
395,46,6600,0,191,219,Capital,Profesional,Familiar,0
397,35,2950,0,125,195,Capital,Profesional,Familiar,0
398,25,2500,3,158,194,Capital,Profesional,Familiar,0
401,27,4180,11,153,219,Capital,Profesional,Familiar,0
402,22,1400,41,159,175,Capital,Profesional,Familiar,0
403,31,2000,0,179,215,Capital,Profesional,Familiar,0
405,31,2300,9,159,200,Capital,Profesional,Familiar,0
406,29,2500,61,152,200,Capital,Profesional,Familiar,0
413,39,2693.13,65,356,202,Capital,Profesional,Familiar,0
417,41,1500,0,159,190,Capital,Profesional,Familiar,0
420,37,3500,0,136,202,Capital,Profesional,Familiar,0
421,37,3500,0,136,202,Capital,Profesional,Familiar,0
431,29,2400,37,137,214,Capital,Profesional,Familiar,0
432,31,4500,0,154,212,Capital,Profesional,Familiar,0
434,27,2561.45,20,192,187,Capital,Profesional,Familiar,0
451,30,3500,45,193,200,Capital,Profesional,Familiar,0
454,35,9650,37,146,221,Capital,Profesional,Familiar,0
462,38,13400,29,145,195,Capital,Profesional,Familiar,0
463,28,4107.72,28,243,194,Capital,Profesional,Familiar,0
468,28,1760,28,135,207,Capital,Profesional,Familiar,0
473,32,3800,1,122,212,Capital,Profesional,Familiar,0
478,32,2058.82,0,158,188,Capital,Profesional,Familiar,0
479,49,2250,60,420,200,Capital,Profesional,Familiar,0
485,27,1500,7,158,174,Capital,Profesional,Familiar,0
488,34,8500,0,193,182,Capital,Profesional,Familiar,0
491,34,3250,93,241,195,Capital,Profesional,Familiar,0
492,35,7200,71,239,216,Capital,Profesional,Familiar,0
493,25,975.3,30,198,170,Capital,Profesional,Familiar,0
498,33,2800,10,122,212,Capital,Profesional,Familiar,0
500,37,23555,49,125,177,Capital,Profesional,Familiar,0
507,35,1415,45,189,182,Capital,Profesional,Familiar,0
508,27,1757,55,173,202,Capital,Profesional,Familiar,0
509,33,1200,0,254,169,Capital,Profesional,Familiar,0
516,24,2700,0,133,193,Capital,Profesional,Familiar,0
518,48,1400,0,133,170,Capital,Profesional,Familiar,0
525,36,13500,78,180,214,Capital,Profesional,Familiar,0
530,28,2000,29,129,202,Capital,Profesional,Familiar,0
532,46,30000,113,213,205,Capital,Profesional,Familiar,0
533,56,2800,0,172,212,Capital,Profesional,Familiar,0
537,47,3646.99,0,159,182,Capital,Profesional,Familiar,0
552,40,4000,120,130,202,Capital,Profesional,Familiar,0
553,26,2100,18,134,189,Capital,Profesional,Familiar,0
557,47,3750,26,421,224,Capital,Profesional,Familiar,0
558,32,2100,40,153,200,Capital,Profesional,Familiar,0
563,33,2000,0,214,188,Capital,Profesional,Familiar,0
566,29,2708.44,9,156,201,Capital,Profesional,Familiar,0
568,39,9055,21,292,202,Capital,Profesional,Familiar,0
572,33,2100,41,224,233,Capital,Profesional,Familiar,0
577,26,4000,0,136,213,Capital,Profesional,Familiar,0
584,49,5946,30,256,207,Capital,Profesional,Familiar,0
604,29,2500,28,178,212,Capital,Profesional,Familiar,0
605,27,700,29,181,204,Capital,Profesional,Familiar,0
607,36,7600,0,174,202,Capital,Profesional,Familiar,0
608,24,2500,0,126,181,Capital,Profesional,Familiar,0
616,34,2800,0,186,197,Capital,Profesional,Familiar,0
617,30,8000,23,160,219,Capital,Profesional,Familiar,0
619,35,11700,65,290,203,Capital,Profesional,Familiar,0
624,31,3600,84,179,200,Capital,Profesional,Familiar,0
629,24,864.82,43,158,159,Capital,Profesional,Familiar,0
632,48,3800,87,219,200,Capital,Profesional,Familiar,0
640,30,9500,30,165,200,Capital,Profesional,Familiar,0
641,34,6059.25,88,257,202,Capital,Profesional,Familiar,0
643,34,6000,25,145,202,Capital,Profesional,Familiar,0
644,28,2880,29,177,199,Capital,Profesional,Familiar,0
646,29,2334.21,47,128,219,Capital,Profesional,Familiar,0
649,29,4950,40,111,207,Capital,Profesional,Familiar,0
650,29,1579.58,24,137,207,Capital,Profesional,Familiar,0
651,33,2400,102,190,212,Capital,Profesional,Familiar,0
652,33,1850,13,209,215,Capital,Profesional,Familiar,0
655,30,2160.44,17,133,188,Capital,Profesional,Familiar,0
657,31,2500,0,133,200,Capital,Profesional,Familiar,0
658,27,1272.05,33,145,196,Capital,Profesional,Familiar,0
659,33,5500,73,175,200,Capital,Profesional,Familiar,0
661,53,2873,98,276,205,Capital,Profesional,Familiar,0
662,35,3000,41,137,202,Capital,Profesional,Familiar,0
664,32,2100,69,179,221,Capital,Profesional,Familiar,0
669,58,7500,55,155,233,Capital,Profesional,Familiar,0
673,61,2300,83,188,219,Capital,Profesional,Familiar,0
677,28,2800,0,138,195,Capital,Profesional,Familiar,0
679,36,6000,38,145,202,Capital,Profesional,Familiar,0
680,49,2300,98,225,212,Capital,Profesional,Familiar,0
681,33,2500,13,150,195,Capital,Profesional,Familiar,0
682,32,1500,0,124,181,Capital,Profesional,Familiar,0
687,28,1800,6,151,183,Capital,Profesional,Familiar,0
688,30,17000,13,113,194,Capital,Profesional,Familiar,0
692,29,3370.62,42,138,219,Capital,Profesional,Familiar,0
701,46,22700,95,107,200,Capital,Profesional,Familiar,0
704,32,5462.77,71,200,206,Capital,Profesional,Familiar,0
706,30,5500,28,138,219,Capital,Profesional,Familiar,0
708,45,7797.66,118,120,200,Capital,Profesional,Familiar,0
712,32,3555,16,131,200,Capital,Profesional,Familiar,0
714,46,2200,81,352,208,Capital,Profesional,Familiar,0
716,25,2100,35,138,189,Capital,Profesional,Familiar,0
717,39,6138,0,169,207,Capital,Profesional,Familiar,0
720,40,3785,15,182,204,Capital,Profesional,Familiar,0
723,36,3200,0,188,221,Capital,Profesional,Familiar,0
725,29,6200,16,146,175,Capital,Profesional,Familiar,0
726,53,7600,33,144,217,Capital,Profesional,Familiar,0
731,36,3550,0,122,202,Capital,Profesional,Familiar,0
732,42,1400,17,134,185,Capital,Profesional,Familiar,0
733,28,9100,15,130,213,Capital,Profesional,Familiar,0
734,28,1200,0,174,176,Capital,Profesional,Familiar,0
738,36,12500,0,199,195,Capital,Profesional,Familiar,0
740,28,6700,29,210,219,Capital,Profesional,Familiar,0
742,27,880,16,119,177,Capital,Profesional,Familiar,0
743,34,13709,30,251,214,Capital,Profesional,Familiar,0
745,42,2668.54,0,183,200,Capital,Profesional,Familiar,0
754,32,1214.66,14,145,176,Capital,Profesional,Familiar,0
755,24,3500,25,168,195,Capital,Profesional,Familiar,0
759,39,4985.79,28,204,200,Capital,Profesional,Familiar,0
762,50,4287,77,428,217,Capital,Profesional,Familiar,0
764,30,3000,37,181,212,Capital,Profesional,Familiar,0
766,33,2500,0,136,180,Capital,Profesional,Familiar,0
769,28,5200,34,167,200,Capital,Profesional,Familiar,0
770,34,1660,0,122,190,Capital,Profesional,Familiar,0
772,31,7506,84,235,209,Capital,Profesional,Familiar,0
777,26,2300,25,164,194,Capital,Profesional,Familiar,0
778,33,10365,94,235,197,Capital,Profesional,Familiar,0
779,34,15200,95,174,202,Capital,Profesional,Familiar,0
787,34,3560,66,150,217,Capital,Profesional,Familiar,0
789,41,2000,0,149,188,Capital,Profesional,Familiar,0
790,31,30000,37,210,214,Capital,Profesional,Familiar,0
791,41,2500,62,316,210,Capital,Profesional,Familiar,0
792,31,1111.64,20,164,178,Capital,Profesional,Familiar,0
793,31,8300,37,179,195,Capital,Profesional,Familiar,0
795,38,4800,93,199,202,Capital,Profesional,Familiar,0
807,27,1551.11,12,180,196,Capital,Profesional,Familiar,0
809,42,5300,101,315,194,Capital,Profesional,Familiar,0
810,34,6000,60,148,195,Capital,Profesional,Familiar,0
811,33,3642.89,52,181,193,Capital,Profesional,Familiar,0
818,33,10800,80,177,207,Capital,Profesional,Familiar,0
819,44,6600,35,210,200,Capital,Profesional,Familiar,0
820,37,1258.85,25,162,185,Capital,Profesional,Familiar,0
824,34,4900,0,157,202,Capital,Profesional,Familiar,0
829,39,6205,117,192,182,Capital,Profesional,Familiar,0
831,24,1112.36,0,167,159,Capital,Profesional,Familiar,0
832,46,10700,67,270,205,Capital,Profesional,Familiar,0
834,42,6000,0,247,199,Capital,Profesional,Familiar,0
836,43,5000,84,329,218,Capital,Profesional,Familiar,0
837,42,4200,42,162,224,Capital,Profesional,Familiar,0
838,41,6000,114,371,205,Capital,Profesional,Familiar,0
839,43,4010,0,191,205,Capital,Profesional,Familiar,0
844,58,12000,0,198,196,Capital,Profesional,Familiar,0
846,26,2583.52,25,111,213,Capital,Profesional,Familiar,0
848,47,4760,0,171,213,Capital,Profesional,Familiar,0
858,30,5000,13,123,219,Capital,Profesional,Familiar,0
859,40,7200,50,185,205,Capital,Profesional,Familiar,0
862,42,3100,19,123,200,Capital,Profesional,Familiar,0
863,32,3000,19,222,200,Capital,Profesional,Familiar,0
864,27,3613.04,11,122,194,Capital,Profesional,Familiar,0
868,35,30000,46,145,216,Capital,Profesional,Familiar,0
869,40,3000,0,144,217,Capital,Profesional,Familiar,0
870,35,2100,72,195,216,Capital,Profesional,Familiar,0
874,27,2000,21,145,194,Capital,Profesional,Familiar,0
876,43,7520,83,236,210,Capital,Profesional,Familiar,0
877,26,2077.57,25,106,201,Capital,Profesional,Familiar,0
880,33,1761.57,20,147,204,Capital,Profesional,Familiar,0
885,31,6321.32,69,113,200,Capital,Profesional,Familiar,0
886,39,30000,72,137,200,Capital,Profesional,Familiar,0
889,29,5137.28,0,147,219,Capital,Profesional,Familiar,0
891,29,2309.72,0,147,219,Capital,Profesional,Familiar,0
896,46,7551,94,182,185,Capital,Profesional,Familiar,0
899,33,12185,24,182,195,Capital,Profesional,Familiar,0
900,29,2000,0,150,183,Capital,Profesional,Familiar,0
902,28,7840,0,123,219,Capital,Profesional,Familiar,0
903,27,1223.85,13,151,194,Capital,Profesional,Familiar,0
904,30,2200,43,168,186,Capital,Profesional,Familiar,0
905,24,1315.87,15,125,183,Capital,Profesional,Familiar,0
906,29,4000,19,138,219,Capital,Profesional,Familiar,0
907,38,5000,16,230,207,Capital,Profesional,Familiar,0
909,31,11220,9,123,193,Capital,Profesional,Familiar,0
911,30,3300,69,114,214,Capital,Profesional,Familiar,0
913,36,3500,51,192,216,Capital,Profesional,Familiar,0
914,26,2304.71,21,142,208,Capital,Profesional,Familiar,0
917,37,8881.34,53,158,216,Capital,Profesional,Familiar,0
919,59,4000,40,141,212,Capital,Profesional,Familiar,0
921,29,2500,62,164,200,Capital,Profesional,Familiar,0
928,44,1666.13,0,149,202,Capital,Profesional,Familiar,0
929,56,6600,79,208,216,Capital,Profesional,Familiar,0
930,38,12785,0,177,204,Capital,Profesional,Familiar,0
932,25,2100,58,156,208,Capital,Profesional,Familiar,0
937,32,5000,82,216,207,Capital,Profesional,Familiar,0
943,31,3960,52,209,200,Capital,Profesional,Familiar,0
946,33,8400,92,111,200,Capital,Profesional,Familiar,0
948,31,6400,64,115,200,Capital,Profesional,Familiar,0
954,49,13500,87,210,198,Capital,Profesional,Familiar,0
957,33,5500,12,128,200,Capital,Profesional,Familiar,0
958,27,1200,20,126,172,Capital,Profesional,Familiar,0
960,37,1200,0,150,197,Capital,Profesional,Familiar,0
962,30,3000,17,150,200,Capital,Profesional,Familiar,0
976,32,2900,60,255,192,Capital,Profesional,Familiar,0
980,58,7500,120,169,212,Capital,Profesional,Familiar,0
982,49,5271,61,230,185,Capital,Profesional,Familiar,0
983,56,3673,114,540,213,Capital,Profesional,Familiar,0
984,26,3459.11,14,131,194,Capital,Profesional,Familiar,0
986,46,11670,22,148,198,Capital,Profesional,Familiar,0
987,45,2000,22,135,193,Capital,Profesional,Familiar,0
997,33,1710.82,9,121,188,Capital,Profesional,Familiar,0
998,34,7500,98,175,202,Capital,Profesional,Familiar,0
999,33,3350,88,248,219,Capital,Profesional,Familiar,0
1000,44,4500,34,200,194,Capital,Profesional,Familiar,0
1002,35,4700,29,227,202,Capital,Profesional,Familiar,0
1004,29,2500,16,126,200,Capital,Profesional,Familiar,0
1005,30,3550,50,141,200,Capital,Profesional,Familiar,0
1012,33,3846,48,113,200,Capital,Profesional,Familiar,0
1013,33,4500,52,141,200,Capital,Profesional,Familiar,0
1015,36,8000,36,213,215,Capital,Profesional,Familiar,0
1020,36,2449,0,161,202,Capital,Profesional,Familiar,0
1025,52,6000,83,348,185,Capital,Profesional,Familiar,0
1028,27,4000,23,120,193,Capital,Profesional,Familiar,0
1030,29,4100,31,172,214,Capital,Profesional,Familiar,0
1031,34,6255,54,120,177,Capital,Profesional,Familiar,0
1037,40,3114.79,92,117,224,Capital,Profesional,Familiar,0
1043,62,10000,12,210,218,Capital,Profesional,Familiar,0
1050,48,6015,90,283,217,Capital,Profesional,Familiar,0
1051,28,1200,28,162,176,Capital,Profesional,Familiar,0
1053,35,5695,95,175,202,Capital,Profesional,Familiar,0
1055,36,1800,76,201,197,Capital,Profesional,Familiar,0
1056,41,8500,88,169,205,Capital,Profesional,Familiar,0
1059,32,1609.8,26,126,180,Capital,Profesional,Familiar,0
1060,35,3091,75,149,202,Capital,Profesional,Familiar,0
1065,28,5500,23,117,200,Capital,Profesional,Familiar,0
1066,25,6600,55,185,189,Capital,Profesional,Familiar,0
1070,39,1900,101,166,183,Capital,Profesional,Familiar,0
1071,33,5668,79,240,219,Capital,Profesional,Familiar,0
1073,28,1791.1,13,138,196,Capital,Profesional,Familiar,0
1077,29,2106,12,139,200,Capital,Profesional,Familiar,0
1079,27,3500,23,116,194,Capital,Profesional,Familiar,0
1084,37,2200,69,132,216,Capital,Profesional,Familiar,0
1087,58,2951.57,109,168,213,Capital,Profesional,Familiar,0
1088,66,15000,8,272,213,Capital,Profesional,Familiar,0
1091,26,2100,57,143,206,Capital,Profesional,Familiar,0
1092,28,2900,3,114,213,Capital,Profesional,Familiar,0
1096,25,1295.31,18,125,193,Capital,Profesional,Familiar,0
1102,35,3500,47,284,195,Capital,Profesional,Familiar,0
1104,38,1200,0,190,185,Capital,Profesional,Familiar,0
1107,37,6700,79,270,207,Capital,Profesional,Familiar,0
1109,37,4500,97,172,214,Capital,Profesional,Familiar,0
1112,32,4500,83,225,200,Capital,Profesional,Familiar,0
1115,34,3100,0,194,207,Capital,Profesional,Familiar,0
1116,36,2100,0,161,214,Capital,Profesional,Familiar,0
1118,28,2100,22,132,214,Capital,Profesional,Familiar,0
1120,33,7000,112,152,214,Capital,Profesional,Familiar,0
1124,38,2100,42,322,177,Capital,Profesional,Familiar,0
1127,44,5500,88,308,219,Capital,Profesional,Familiar,0
1131,30,5160,0,119,,Capital,Profesional,Familiar,0
1132,41,10000,24,226,200,Capital,Profesional,Familiar,0
1138,31,3410,70,135,200,Capital,Profesional,Familiar,0
1140,39,6500,92,292,221,Capital,Profesional,Familiar,0
1141,40,2100,37,187,200,Capital,Profesional,Familiar,0
1142,29,2100,42,198,212,Capital,Profesional,Familiar,0
1143,34,4500,0,198,195,Capital,Profesional,Familiar,0
1144,47,2500,37,222,219,Capital,Profesional,Familiar,0
